"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 05:49:35 GMT 2022","Sat Dec 03 05:49:38 GMT 2022","2741","","Troca de senha","","","","Validar troca de senha sem preencher campos",""
"passed","Sat Dec 03 05:49:43 GMT 2022","Sat Dec 03 05:49:45 GMT 2022","1537","","Login","","","","Validar login com sucesso",""
"passed","Sat Dec 03 05:49:40 GMT 2022","Sat Dec 03 05:49:41 GMT 2022","1281","","Dashboard","","","","teste",""
"passed","Sat Dec 03 05:49:46 GMT 2022","Sat Dec 03 05:49:46 GMT 2022","257","","Login","","","","Validar login sem preencher campos",""
"passed","Sat Dec 03 05:49:47 GMT 2022","Sat Dec 03 05:49:48 GMT 2022","246","","Login","","","","Validar redirecionamento esqueci minha senhna",""
"passed","Sat Dec 03 05:49:47 GMT 2022","Sat Dec 03 05:49:47 GMT 2022","498","","Login","","","","Validar login sem preencher campo user",""
"passed","Sat Dec 03 05:50:28 GMT 2022","Sat Dec 03 05:50:29 GMT 2022","1644","","Registrar Candidato","","","","Validar criar candidato sem preencher campos",""
"passed","Sat Dec 03 05:49:45 GMT 2022","Sat Dec 03 05:49:46 GMT 2022","1288","","Login","","","","Validar login com erro",""
"failed","Sat Dec 03 05:49:50 GMT 2022","Sat Dec 03 05:50:28 GMT 2022","37862","","Registrar Candidato","","","","Validar criar candidato com sucesso",""
"passed","Sat Dec 03 05:49:46 GMT 2022","Sat Dec 03 05:49:47 GMT 2022","827","","Login","","","","Validar login sem preencher campo senha",""
"passed","Sat Dec 03 05:50:31 GMT 2022","Sat Dec 03 05:50:35 GMT 2022","3861","","Registrar Entrevista","","","","Validar criar entrevista com sucesso",""
"passed","Sat Dec 03 05:50:35 GMT 2022","Sat Dec 03 05:50:37 GMT 2022","1761","","Registrar Entrevista","","","","Validar criar entrevista sem preencher campos",""
